Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C4, C5",0603,4,10uF,C19702
"C10, C13, C14, C6, C7, C8",0603,6,100nF,C14663
C11,0603,1,10nf,C57112
"C15, C16, C17, C18",0603,4,1uF,C15849
C2,0603,1,470pF,C1620
C3,0805,1,2.2uF,C5448893
C9,0603,1,2.2nf,C1604
D1,D_SMA,1,SS34,C8678
"D2, D3, D4, D5",D_SOD-123F,4,1N4148W,C81598
IC1,SOIC127P600X175-9N,1,TP4056,C20199357
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2927038
J14,CONN-TH_1.25T-2A_1.25T-2A,1,Conn_01x02, C722594
J2,CONN-TH_2P-P2.50_XH-2AW,1,JST XH 2P 2.50mm SMD Hoz,C33132
"LED1, LED2, LED5",0603,3,LED_Red,C2286
"LED3, LED6",0603,2,LED_Blue,C2288
LED4,0603,1,LED_Green,C12065
"R1, R2",0603,2,5.1K,C23186
"R10, R11, R12, R13, R6, R7, R9",0603,7,1K,C21190
"R14, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25",0603,11,10k, C25804
R15,0603,1,4.7k,C23162
"R26, R27, R3, R8",0603,4,100K,C25803
R4,0603,1,470R,C23179
R5,0603,1,1.2K,C22765
SW1,SW-SMD_MST22D18G2,1,MST22D18G2_125,C2906280
"SW2, SW3",Tactile 3x4x2mm TS-A010,2,Tactile Switch 3x4x2,C2874433
"T1, T2, T3, T4",SOT95P237X112-3N,4,IRLML6344TRPBF,C6285738 
U1,SOT-23,1,AO3401A,C15127
U2,SOT-23-5,1,SPX3819M5-L-3-3/TR,C9055
U5,ESSOP-10_3.9x4.9mm_P1.00mm,1,CH340K,C18208922
U6,SOT-363_SC-70-6,1,2N27002DW,C5190214
U8,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913198
