Designator,Mid X,Mid Y,Rotation,Layer
C1,149.9875,-86.647,90.0,top
C10,143.1025,-92.049,270.0,top
C11,141.5795,-92.049,270.0,top
C12,158.4545,-115.413,270.0,top
C13,158.4615,-112.374,90.0,top
C14,164.8785,-117.863,180.0,top
C15,174.9855,-66.427,315.0,top
C16,175.038407,-121.710907,225.0,top
C17,119.822078,-121.804208,135.0,top
C18,119.641593,-66.605093,45.0,top
C2,151.5995,-91.236,270.0,top
C3,154.1445,-90.686,0.0,top
C4,155.1555,-93.201,90.0,top
C5,162.2735,-82.107,0.0,top
C6,135.2035,-86.09,0.0,top
C7,135.2035,-81.489,180.0,top
C8,146.8405,-86.68,90.0,top
C9,142.3545,-94.363,180.0,top
D1,147.293,-82.576,180.0,top
D2,176.608632,-64.835688,315.0,top
D3,176.629719,-123.334039,225.0,top
D4,118.198946,-123.39552,135.0,top
D5,118.050281,-64.981961,45.0,top
IC1,159.3695,-87.187,90.0,top
J1,147.3775,-75.459,180.0,top
J10,116.318629,-63.152687,45.0,top
J11,146.77,-113.5145,180.0,bottom
J12,160.369499,-75.869,180.0,bottom
J13,136.967499,-75.869,180.0,bottom
J14,136.0615,-103.62995,90.0,top
J2,159.9075,-80.0456,0.0,top
J3,168.4775,-107.734,180.0,top
J4,168.4775,-80.554,0.0,top
J5,126.2765,-107.734,180.0,top
J6,126.2765,-80.554,0.0,top
J7,178.437906,-63.104036,315.0,top
J8,178.361371,-125.163313,225.0,top
J9,116.369672,-125.127172,135.0,top
LED1,164.6195,-97.891,270.0,top
LED2,164.6195,-94.098547,90.0,top
LED3,164.6195,-90.411,270.0,top
LED4,130.1355,-90.411,90.0,top
LED5,130.1355,-94.131,90.0,top
LED6,130.1355,-97.851,90.0,top
R1,139.7265,-79.579,90.0,top
R10,135.2035,-83.013,0.0,top
R11,131.7635,-90.431,270.0,top
R12,131.7645,-94.151,270.0,top
R13,131.7645,-97.871,270.0,top
R14,152.3495,-93.535,0.0,top
R15,148.4225,-86.664,270.0,top
R16,152.4255,-95.101,0.0,top
R17,142.3625,-89.696,180.0,top
R18,164.8785,-116.273,180.0,top
R19,138.702,-91.2245,0.0,top
R2,141.2575,-79.575,90.0,top
R20,131.9345,-101.408,0.0,top
R21,131.9345,-103.918,0.0,top
R22,170.639684,-70.772816,135.0,top
R23,170.692591,-117.365091,45.0,top
R24,124.167894,-117.458392,315.0,top
R25,123.987409,-70.950909,225.0,top
R26,163.0115,-84.388,270.0,top
R27,163.0005,-87.414,270.0,top
R3,153.6245,-79.162,90.0,top
R4,163.0015,-97.871,90.0,top
R5,158.0075,-91.827,180.0,top
R6,163.0015,-94.078547,90.0,top
R7,163.0015,-90.431,90.0,top
R8,132.9015,-81.519,90.0,top
R9,135.2035,-84.53,0.0,top
SW1,135.6786,-75.854,180.0,top
SW2,133.5315,-113.33,90.0,top
SW3,161.1715,-113.33,90.0,top
T1,172.812593,-68.599907,45.0,top
T2,172.8655,-119.538,315.0,top
T3,121.994985,-119.631301,225.0,top
T4,121.8145,-68.778,135.0,top
U1,154.555999,-83.57,180.0,top
U2,152.573,-87.588,90.0,top
U5,140.36,-83.8375,180.0,top
U6,138.745,-88.7585,270.0,top
U8,147.3775,-109.654,180.0,top
